District,Total Area (ha),Total Capacity (MW),Site-wise capacity,25MW<x<100MW,>100MW,Total estimated energy (GWh)
AMPARA,6367,3183,536,835,1812,4715
ANURADHAPURA,616,308,35,273,-,467
BADULLA,10103,5052,831,2288,1933,7522
BATTICALOA,3136,1568,275,986,307,2312
COLOMBO,26,13,13,-,,19
GALLE,302,151,35,116,,226
GAMPAHA,415,207,117,90,,295
HAMBANTOTA,1976,988,121,388,479,1436
JAFFNA,962,481,39,144,297,738
KALUTARA,1160,580,121,176,283,852
KANDY,360,180,74,106,-,258
KEGALLE,336,168,128,40,,240
KILINOCHCHI,2099,1049,307,284,459,1586
KURUNEGALA,3452,1726,476,826,424,2525
MANNAR,3612,1806,394,586,826,2776
MATALE,2732,1366,206,438,722,1970
MATARA,332,166,29,137,,247
MONERAGALA,2531,1266,136,584,546,1850
MULLAITIVU,7417,3708,719,1944,1046,5737
NUWARA ELIYA,495,247,50,198,-,375
POLONNARUWA,982,491,124,367,,746
PUTTALAM,2520,1260,274,653,333,1879
RATNAPURA,3536,1768,572,1196,,2568
TRINCOMALEE,1957,979,164,264,551,1464
VAVUNIYA,1855,927,252,470,205,1433
