District,No of Sheds,Gasoline (Mean),Diesel (Mean),Gasoline (SD),Diesel (SD)
AMPARA,54,1806,3015.7,117.5,35.8
ANURADHAPURA,47,3360,6160.8,182.7,35.7
BADULLA,31,1808,3495.2,114.5,38.4
BATTICALOA,39,1323,1756.2,114.3,37.6
COLOMBO,151,18859,31976.7,795.9,35.8
GALLE,66,3813,5317.3,185.4,24.8
GAMPAHA,156,12217,18082.7,527.9,26.2
HAMBANTOTA,37,1896,4082.9,112.1,41.4
JAFFNA,59,1634,2671.1,96.5,30.9
KALUTARA,56,4471,6150.7,216.7,23.1
KANDY,66,4351,7147.4,180,31.3
KEGALLE,31,2258,3378.4,133.7,27.3
KILINOCHCHI,8,309,1031.8,20.3,55.6
KURUNEGALA,111,6892,9992.4,302.6,26.9
MANNAR,11,252,643.5,22.7,49.3
MATALE,46,1578,2668.1,80.5,34.9
MATARA,29,2382,5016.6,169.6,42.5
MONERAGALA,25,1284,2319.6,106.2,38.9
MULLAITIVU,12,326,1206.4,25.3,57
NUWARA ELIYA,23,1010,2601.5,70.6,45.2
POLONNARUWA,28,1369,2931.2,403.6,43
PUTTALAM,72,3023,5124.4,122.1,31.6
RATNAPURA,45,3201,5256.5,169.1,32.5
TRINCOMALEE,26,663,2432.4,417.8,48.1
VAVUNIYA,17,499,2060.1,36.6,56.1
